2022/10/18 10:11:06 [error] 30#30: *19 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushKotlin.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushKotlin.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *19 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushCss.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushCss.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *27 open() "/var/www/default.test/js/syntaxhighlighter/styles/shCore.css" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/styles/shCore.css HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *28 open() "/var/www/default.test/js/syntaxhighlighter/styles/shThemeDefault.css" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/styles/shThemeDefault.css HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *30 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shCore.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shCore.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *31 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPhp.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPhp.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *32 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushCss.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushCss.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 31#31: *33 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJScript.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJScript.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *28 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushXml.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushXml.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:18:51 [error] 30#30: *27 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJava.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJava.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
